"State /
Union Territory",Area (km^{2} ),Region,Rural,Urban,Total (%)
Rajasthan,"342,239",Western,336807.81,5431.19,10.41
Madhya Pradesh,"308,245",Central,301283.24,6961.76,9.38
Maharashtra,"307,713",Western,300357.2,7355.8,9.36
Andhra Pradesh,"275,045",Southern,270297.5,4747.5,8.37
Uttar Pradesh,"240,928",Northern,234369.81,6558.19,7.33
Gujarat,"196,024",Western,190796.5,5227.5,5.96
Karnataka,"191,791",Southern,186590.02,5200.98,5.83
Odisha,"155,707",Eastern,152912.87,2794.13,4.74
Chhattisgarh,"135,191",Central,133325.25,1865.75,4.11
Tamil Nadu,"130,058",Southern,117532.75,12525.25,3.96
Telangana,"112,077",Southern,68366.97,"43,710",3.409
Bihar,"94,163",Eastern,92358.4,1804.6,2.86
West Bengal,"88,752",Eastern,85427.26,3324.74,2.7
Arunachal Pradesh,"83,743",Northeastern,64482.11,"19,261",2.55
Jharkhand,"79,714",Eastern,77921.57,1792.43,2.43
Assam,"78,438",Northeastern,77476.23,961.77,2.39
Himachal Pradesh,"55,673",Northern,55431.29,241.71,1.69
Uttarakhand,"53,483",Northern,52686.23,796.77,1.63
Punjab,"50,362",Northern,48265.38,2096.62,1.53
Haryana,"44,212",Northern,42931.63,1280.37,1.35
Kerala,"38,863",Southern,35611.14,3251.86,1.18
Meghalaya,"22,429",Northeastern,22199.28,229.72,0.68
Manipur,"22,327",Northeastern,22176.81,150.19,0.68
Mizoram,"21,081",Northeastern,20494.08,586.92,0.64
Nagaland,"16,579",Northeastern,16431.76,147.24,0.5
Tripura,"10,486",Northeastern,10345.6,140.4,0.32
Sikkim,"7,096",Northeastern,5251.04,"1,845",0.22
Goa,"3,702",Western,3190.33,511.67,0.11
,,,,,
,,,,,
Union Territory,,,,,
Jammu and Kashmir,"42,241",Northern,"41,021",1219.59,1.285
Andaman and Nicobar Islands,"8,249",Bay of Bengal,8222.66,26.34,0.251
Delhi,"1,484",Northern,558.32,924.68,0.045
Dadra and Nagar Haveli and Daman and Diu,603,Western,473.83,17.17,0.018
Puducherry,479,Southern,345.59,133.41,0.015
Chandigarh,114,Northern,34.66,79.34,0.003
Daman & Diu #,112,Northern,88.64,23.36,1.8
Lakshadweep,32,Arabian Sea,21.41,10.59,0.001
,,,,,
,,,,,
https://simple.wikipedia.org/wiki/List_of_states_and_union_territories_of_India_by_area,,,,,
